entry_dt,exit_dt,side,result,pnl_pct
2025-02-06 15:45:00+00:00,2025-02-06 16:30:00+00:00,long,loss,-2.1516
2025-02-09 21:45:00+00:00,2025-02-09 22:30:00+00:00,long,win,2.7528
2025-02-13 05:15:00+00:00,2025-02-13 06:00:00+00:00,long,loss,-1.3924
2025-02-14 18:00:00+00:00,2025-02-14 20:45:00+00:00,short,win,4.0988
2025-02-18 06:15:00+00:00,2025-02-18 08:45:00+00:00,long,loss,-1.0763
2025-02-23 06:00:00+00:00,2025-02-23 07:15:00+00:00,long,win,0.4759
2025-02-24 15:00:00+00:00,2025-02-24 15:15:00+00:00,long,loss,-1.7729
2025-03-05 09:30:00+00:00,2025-03-05 10:15:00+00:00,short,loss,-2.0189
2025-03-18 01:45:00+00:00,2025-03-18 06:00:00+00:00,long,loss,-1.4589
2025-03-27 11:45:00+00:00,2025-03-27 13:00:00+00:00,long,loss,-1.0828
2025-03-28 04:45:00+00:00,2025-03-28 05:30:00+00:00,long,loss,-1.3386
2025-04-10 16:00:00+00:00,2025-04-11 04:30:00+00:00,long,win,8.1171
2025-04-11 17:45:00+00:00,2025-04-12 13:45:00+00:00,short,loss,-2.7447
2025-04-22 01:45:00+00:00,2025-04-22 12:30:00+00:00,short,loss,-1.8401
2025-05-10 06:30:00+00:00,2025-05-10 06:45:00+00:00,short,loss,-0.8724
2025-05-12 07:15:00+00:00,2025-05-12 07:45:00+00:00,short,win,3.5716
2025-05-15 02:00:00+00:00,2025-05-15 03:45:00+00:00,long,loss,-1.0222
2025-05-16 08:30:00+00:00,2025-05-16 10:00:00+00:00,long,win,1.4531
2025-05-17 09:30:00+00:00,2025-05-17 20:45:00+00:00,long,win,1.3563
2025-05-18 06:00:00+00:00,2025-05-18 07:45:00+00:00,short,loss,-0.6421
2025-05-25 22:15:00+00:00,2025-05-25 22:45:00+00:00,short,loss,-1.5137
2025-05-27 01:30:00+00:00,2025-05-27 03:15:00+00:00,long,win,2.2555
2025-05-27 21:45:00+00:00,2025-05-28 02:15:00+00:00,long,loss,-1.4487
2025-05-29 13:45:00+00:00,2025-05-29 14:15:00+00:00,long,loss,-1.3371
2025-06-03 15:00:00+00:00,2025-06-03 20:30:00+00:00,short,win,2.4727
2025-06-10 14:45:00+00:00,2025-06-10 18:45:00+00:00,long,win,1.9047
2025-06-10 19:30:00+00:00,2025-06-11 12:15:00+00:00,short,win,2.4274
2025-06-14 07:15:00+00:00,2025-06-14 12:30:00+00:00,long,loss,-0.7921
2025-06-22 13:45:00+00:00,2025-06-22 14:15:00+00:00,long,loss,-1.7987
2025-06-30 15:00:00+00:00,2025-06-30 15:45:00+00:00,long,win,1.8511
2025-07-04 02:45:00+00:00,2025-07-04 05:45:00+00:00,long,loss,-0.8418
2025-07-17 18:30:00+00:00,2025-07-17 20:00:00+00:00,short,win,2.0787
2025-07-18 08:45:00+00:00,2025-07-18 14:15:00+00:00,long,loss,-1.5552
2025-08-05 08:00:00+00:00,2025-08-05 08:15:00+00:00,long,win,0.6254
2025-08-06 15:00:00+00:00,2025-08-06 18:00:00+00:00,short,loss,-1.53
2025-08-07 20:00:00+00:00,2025-08-08 05:30:00+00:00,short,win,1.6791
2025-08-20 14:00:00+00:00,2025-08-20 14:30:00+00:00,long,win,2.068
2025-08-25 20:15:00+00:00,2025-08-25 20:30:00+00:00,long,loss,-2.127
2025-09-09 06:15:00+00:00,2025-09-09 06:45:00+00:00,short,loss,-1.0852
2025-09-11 22:45:00+00:00,2025-09-11 23:45:00+00:00,short,loss,-0.9329
2025-09-15 04:45:00+00:00,2025-09-15 05:15:00+00:00,short,loss,-0.9073
2025-09-18 23:15:00+00:00,2025-09-19 00:30:00+00:00,long,win,1.301
2025-09-23 03:00:00+00:00,2025-09-23 03:15:00+00:00,long,win,1.4587
2025-09-24 11:15:00+00:00,2025-09-24 14:30:00+00:00,short,loss,-0.8474
2025-10-08 17:30:00+00:00,2025-10-09 01:00:00+00:00,short,win,2.4317
2025-10-10 15:30:00+00:00,2025-10-10 16:00:00+00:00,long,loss,-2.0852
2025-10-24 14:30:00+00:00,2025-10-24 20:45:00+00:00,long,win,2.4329
2025-11-03 15:30:00+00:00,2025-11-03 17:15:00+00:00,long,win,4.0244
2025-11-05 12:45:00+00:00,2025-11-05 14:30:00+00:00,short,loss,-1.8934
2025-11-11 13:30:00+00:00,2025-11-11 14:45:00+00:00,long,loss,-1.4297
2025-11-12 09:15:00+00:00,2025-11-12 12:15:00+00:00,short,loss,-1.4356
2025-11-13 06:30:00+00:00,2025-11-13 13:30:00+00:00,short,win,3.1914
2025-11-14 04:45:00+00:00,2025-11-14 06:15:00+00:00,long,loss,-2.8802
2025-11-16 10:00:00+00:00,2025-11-16 11:00:00+00:00,short,win,1.3785
2025-11-17 13:45:00+00:00,2025-11-17 14:30:00+00:00,long,win,4.3481
2025-11-18 15:30:00+00:00,2025-11-18 16:15:00+00:00,short,loss,-2.8576
2025-11-19 16:00:00+00:00,2025-11-19 17:00:00+00:00,long,loss,-2.5086
2025-11-22 23:00:00+00:00,2025-11-23 01:15:00+00:00,short,loss,-1.4738
2025-11-24 09:30:00+00:00,2025-11-24 14:30:00+00:00,long,loss,-2.2359
2025-11-28 14:00:00+00:00,2025-11-28 14:15:00+00:00,short,loss,-1.5714
2025-11-29 16:00:00+00:00,2025-11-29 17:00:00+00:00,short,win,0.8165
2025-11-30 09:15:00+00:00,2025-11-30 13:15:00+00:00,short,loss,-1.0653
2025-12-03 02:15:00+00:00,2025-12-03 04:15:00+00:00,short,loss,-2.0516
2025-12-05 09:45:00+00:00,2025-12-05 13:15:00+00:00,long,loss,-1.3528
2025-12-12 16:00:00+00:00,2025-12-13 16:00:00+00:00,long,timeout,0.6226
2025-12-16 10:45:00+00:00,2025-12-16 12:45:00+00:00,short,loss,-1.6515
2025-12-21 08:45:00+00:00,2025-12-21 09:00:00+00:00,short,loss,-0.7476
2025-12-22 08:30:00+00:00,2025-12-22 12:15:00+00:00,short,loss,-1.4405
2025-12-25 15:45:00+00:00,2025-12-25 20:15:00+00:00,short,win,2.1961
2025-12-30 08:15:00+00:00,2025-12-30 10:00:00+00:00,short,loss,-1.1167
2026-01-01 17:45:00+00:00,2026-01-01 22:00:00+00:00,short,loss,-0.7433
2026-01-06 16:45:00+00:00,2026-01-06 17:30:00+00:00,long,loss,-1.8697
